,amount_transactions,number_transactions,breakdown
387,2025834.0,4.0,Millions
388,4143000.0,12.0,Millions
389,6975000.0,2.0,Millions
390,44851837.54,2.0,Millions
391,1600000.0,2.0,Millions
392,1644350.1,5.0,Millions
393,2068784.35,7.0,Millions
394,2351662.79,31.0,Millions
395,1478600.78,3.0,Millions
396,1021572.24,2.0,Millions
397,1599503.3,24.0,Millions
398,9434476.95,51.0,Millions
399,2050000.0,2.0,Millions
400,2325000.0,5.0,Millions
401,5680163.13,6.0,Millions
402,2720000.0,6.0,Millions
403,1750000.0,1.0,Millions
404,33000000.0,1.0,Millions
405,33000000.0,1.0,Millions
406,130000000.0,1.0,Millions
407,130000000.0,1.0,Millions
408,65000000.0,1.0,Millions
409,65000000.0,1.0,Millions
410,3024637.3,1.0,Millions
411,1131709.89,1.0,Millions
412,9824395.94,1.0,Millions
413,5000000.0,1.0,Millions
414,13000680.0,1.0,Millions
415,1500000.0,1.0,Millions
416,3000000.0,1.0,Millions
417,2000000.0,1.0,Millions
418,2090029.37,1.0,Millions
419,2840000.0,1.0,Millions
420,2870000.0,1.0,Millions
421,9375845.0,7.0,Millions
422,10212877.0,1.0,Millions
423,14265948.67,3.0,Millions
424,1523991.16,3.0,Millions
425,2800067.58,2.0,Millions
426,2810854.4,3.0,Millions
427,3200000.0,2.0,Millions
428,4784466.0,1.0,Millions
429,5300000.0,1.0,Millions
430,14708000.0,5.0,Millions
431,21000000.0,2.0,Millions
432,66316000.0,7.0,Millions
433,1786929.08,13.0,Millions
434,1739599.0,14.0,Millions
435,2533000.0,20.0,Millions
436,4077000.0,16.0,Millions
437,24087154.93,9.0,Millions
438,11213998.97,9.0,Millions
439,8043761.35,4.0,Millions
440,12147000.0,5.0,Millions
441,16675112.37,14.0,Millions
442,16919433.13,15.0,Millions
443,119548134.62,19.0,Millions
444,144248997.85,26.0,Millions
445,162381261.0,21.0,Millions
446,1125286.33,9.0,Millions
447,1015000.0,2.0,Millions
448,39585483.0,7.0,Millions
449,9576522.0,3.0,Millions
450,1000000.0,1.0,Millions
451,1362795.74,3.0,Millions
452,7230973.63,2.0,Millions
453,1025160.0,1.0,Millions
454,4999955.0,1.0,Millions
455,1438011.08,3.0,Millions
456,1500185.0,1.0,Millions
457,2699154.6,3.0,Millions
458,1700000.0,1.0,Millions
459,2760075.0,4.0,Millions
460,4266217.0,4.0,Millions
461,2746414.0,4.0,Millions
462,23949430.3,7.0,Millions
463,6287228.28,8.0,Millions
464,13330874.35,7.0,Millions
465,6319834.24,10.0,Millions
466,1000000.0,3.0,Millions
467,2433262.0,15.0,Millions
468,1558248.21,18.0,Millions
469,1742329.89,4.0,Millions
470,1792200.0,16.0,Millions
471,3733968.8,6.0,Millions
472,1000000.0,2.0,Millions
473,1279972.0,1.0,Millions
474,1319744.77,2.0,Millions
475,1575000.0,3.0,Millions
476,1493968.0,11.0,Millions
477,3250049.78,2.0,Millions
478,3351053.37,6.0,Millions
479,6176048.0,18.0,Millions
480,40818059.8,8.0,Millions
481,1323430.0,1.0,Millions
482,5162470.1,9.0,Millions
483,5100000.0,8.0,Millions
484,1836639.0,4.0,Millions
485,2073716.31,23.0,Millions
486,1586492.0,1.0,Millions
487,2487862.59,1.0,Millions
488,3128412.9,9.0,Millions
489,5158505.77,19.0,Millions
490,9602143.7,1.0,Millions
491,9750000.0,1.0,Millions
492,9812877.96,1.0,Millions
493,4632546.5,30.0,Millions
494,6133860.03,17.0,Millions
495,7722872.88,26.0,Millions
496,7832341.0,47.0,Millions
497,8758411.27,22.0,Millions
498,9139992.68,18.0,Millions
499,1049080.0,3.0,Millions
500,1251050.0,3.0,Millions
501,1350000.0,5.0,Millions
502,1374000.62,6.0,Millions
503,1680090.0,3.0,Millions
504,5000000.0,2.0,Millions
505,2926512.63,22.0,Millions
506,1363061.47,1.0,Millions
507,3046968.67,1.0,Millions
508,3062013.33,1.0,Millions
509,3527340.13,1.0,Millions
510,1197000.0,1.0,Millions
511,1576347.57,1.0,Millions
512,1656316.04,1.0,Millions
513,1651275.54,1.0,Millions
514,1586519.14,1.0,Millions
515,8969209.73,20.0,Millions
516,9443258.7,1.0,Millions
517,1450000.0,8.0,Millions
518,1065837.1,5.0,Millions
519,1148748.0,2.0,Millions
520,4000000.0,1.0,Millions
521,1250000.0,7.0,Millions
522,9180000.0,15.0,Millions
523,1862149.24,2.0,Millions
524,2638392.04,1.0,Millions
525,28445928.96,4.0,Millions
526,3600000.0,11.0,Millions
527,1000000.0,4.0,Millions
528,10915000.0,3.0,Millions
529,53520418.3,2.0,Millions
530,2600000.0,2.0,Millions
531,1000000.0,1.0,Millions
532,9391000.0,10.0,Millions
533,94000000.0,1.0,Millions
534,5000000.0,1.0,Millions
535,5000000.0,1.0,Millions
536,1085000.0,2.0,Millions
537,3098700.0,1.0,Millions
538,8500000.0,1.0,Millions
539,3305000.0,1.0,Millions
540,7089455.16,1.0,Millions
541,3714816.06,1.0,Millions
542,2367375.0,4.0,Millions
543,7512170.0,1.0,Millions
544,1000000.0,2.0,Millions
545,1101111.0,6.0,Millions
546,1388230.0,10.0,Millions
547,1515165.6,1.0,Millions
548,1172683.0,1.0,Millions
549,49132978.0,17.0,Millions
550,30243451.0,12.0,Millions
551,3976956.23,2.0,Millions
552,4560581.13,2.0,Millions
553,4748761.44,4.0,Millions
554,5000000.0,1.0,Millions
555,6464794.63,1.0,Millions
556,10000000.0,1.0,Millions
557,16820000.0,7.0,Millions
558,511999962.5,1.0,Millions
559,2289240.0,8.0,Millions
560,2480000.0,8.0,Millions
561,2757893.5,10.0,Millions
562,1618000.0,16.0,Millions
563,2829522.83,12.0,Millions
564,15886900.0,9.0,Millions
565,1799700.0,2.0,Millions
566,4920000.0,6.0,Millions
567,2253958.33,1.0,Millions
568,3425218.75,1.0,Millions
569,1397821.25,1.0,Millions
570,2081430.56,1.0,Millions
571,1245000.0,8.0,Millions
572,4956000.0,3.0,Millions
573,2567000.0,3.0,Millions
574,5781800.0,5.0,Millions
575,150000000.0,2.0,Millions
576,3505035.83,8.0,Millions
577,4205000.0,2.0,Millions
578,3754654.0,8.0,Millions
579,4260000.0,1.0,Millions
580,9692789.7,2.0,Millions
581,12386799.0,4.0,Millions
582,5801164.84,24.0,Millions
583,9070816.79,18.0,Millions
584,24172000.0,12.0,Millions
585,24540141.23,13.0,Millions
586,3000000.0,1.0,Millions
587,3035863.55,2.0,Millions
588,7900000.0,1.0,Millions
589,40000000.0,2.0,Millions
590,40050410.96,3.0,Millions
591,207500000.0,6.0,Millions
592,3038906.03,2.0,Millions
593,33599900.0,2.0,Millions
594,179700000.0,2.0,Millions
595,49700000.0,3.0,Millions
596,2124000.0,12.0,Millions
597,2120000.0,9.0,Millions
598,2234366.0,13.0,Millions
599,7438873.0,20.0,Millions
600,7540500.0,20.0,Millions
601,8455633.0,23.0,Millions
602,2499902.35,1.0,Millions
603,5500000.0,1.0,Millions
604,52345693.4,1.0,Millions
605,1762700.0,17.0,Millions
606,3804798.15,11.0,Millions
607,26523230.47,60.0,Millions
608,2000000.0,1.0,Millions
609,3105000.0,1.0,Millions
610,9500000.0,2.0,Millions
611,18384109.97,1.0,Millions
612,9024584.4,2.0,Millions
613,39199933.78,4.0,Millions
614,145500000.0,4.0,Millions
615,21600000.0,1.0,Millions
616,39237272.0,1.0,Millions
617,5369843.0,1.0,Millions
618,1600000.0,1.0,Millions
619,1143442.62,1.0,Millions
620,1106557.38,1.0,Millions
621,2500000.0,1.0,Millions
622,2500000.0,1.0,Millions
623,1000000.0,1.0,Millions
624,5018000.0,1.0,Millions
625,1074880.0,1.0,Millions
626,3000000.0,1.0,Millions
627,35000000.0,1.0,Millions
628,4000000.0,1.0,Millions
629,43400000.0,1.0,Millions
630,25510266.29,1.0,Millions
631,124639951.86,2.0,Millions
632,2050000.0,1.0,Millions
633,15000000.0,2.0,Millions
634,3203780.82,1.0,Millions
635,3759301.37,2.0,Millions
636,1100000.0,1.0,Millions
637,1019975.0,1.0,Millions
638,1100000.0,4.0,Millions
639,17878000.0,76.0,Millions
640,1556349.0,5.0,Millions
641,9852222.06,9.0,Millions
642,1227966.06,14.0,Millions
643,16294910.79,8.0,Millions
644,19927563.75,21.0,Millions
645,2942500.0,7.0,Millions
646,1779903.99,5.0,Millions
647,1237163.0,14.0,Millions
648,6903833.0,4.0,Millions
649,2045570.0,5.0,Millions
650,3250000.0,3.0,Millions
651,2237623.0,1.0,Millions
652,3950965.62,1.0,Millions
653,1000000.0,1.0,Millions
654,1365000.0,1.0,Millions
655,136538959.88,3.0,Millions
656,336828000.0,4.0,Millions
657,8024647.0,1.0,Millions
658,202116372.42,4.0,Millions
659,300000000.0,1.0,Millions
660,73534359.87,1.0,Millions
661,2000000.0,1.0,Millions
662,29000000.0,1.0,Millions
663,37733084.0,1.0,Millions
664,1128500.0,34.0,Millions
665,1628505.29,5.0,Millions
666,2576982.16,31.0,Millions
667,3000000.0,1.0,Millions
668,3899975.0,1.0,Millions
669,4150000.0,2.0,Millions
670,4258807.48,21.0,Millions
671,4499946.5,2.0,Millions
672,5400000.0,1.0,Millions
673,5850158.46,4.0,Millions
674,7600000.0,3.0,Millions
675,8686480.0,1.0,Millions
676,31000000.0,1.0,Millions
677,327999890.0,11.0,Millions
678,1375000.0,13.0,Millions
679,1563918.0,21.0,Millions
680,1592810.0,28.0,Millions
681,1680000.0,14.0,Millions
682,1149820.0,12.0,Millions
683,1600000.0,1.0,Millions
684,56319000.0,2.0,Millions
685,2368493.15,2.0,Millions
686,13105247.57,1.0,Millions
687,2533555.0,1.0,Millions
688,2666008.84,1.0,Millions
689,2673000.0,1.0,Millions
690,3159890.0,1.0,Millions
691,2557005.1,1.0,Millions
692,6085578.95,5.0,Millions
693,7999910.0,3.0,Millions
694,10849983.0,1.0,Millions
695,14246763.0,2.0,Millions
696,44418271.0,3.0,Millions
697,3745371.0,4.0,Millions
698,2231000.0,2.0,Millions
699,2532146.4,14.0,Millions
700,2365000.0,8.0,Millions
701,53800000.0,47.0,Millions
702,13423110.0,21.0,Millions
703,11320000.0,5.0,Millions
704,22520000.0,5.0,Millions
705,28454144.11,1.0,Millions
706,31000000.0,1.0,Millions
707,17000000.0,1.0,Millions
708,52420000.0,2.0,Millions
709,67858091.62,3.0,Millions
710,71545780.72,1.0,Millions
